Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       12.03.18
Time:       16:27
Revision:   14169
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2","0R","TopLayer","RESC1005X04L","103.4034","37.1602","90","Resistor, ±5%, 0.063W"
"R1","0R","TopLayer","RESC1005X04L","104.3178","37.1602","90","Resistor, ±5%, 0.063W"
"C52","N.C.","TopLayer","CAPC1005X04L","103.4034","39.1160","90","Not mounted"
"C51","N.C.","TopLayer","CAPC1005X04L","104.3178","39.1160","270","Not mounted"
"R49","10k","TopLayer","RESC1005X04L","75.0316","13.0810","180","Resistor, ±1%, 0.063W"
"C15","1.0µF","TopLayer","CAPC1608X06L","112.8136","43.4814","180","Capacitor, X7R, ±10%"
"L3","15nH","TopLayer","INDC1005X04L","111.3886","44.9924","180","Inductor, 320mA, ±5%"
"L2","10µH","TopLayer","INDC1608X06L","110.9136","43.2674","270","Inductor, 80mA, ±10%"
"C16","47nF","TopLayer","CAPC1005X04L","112.8014","42.4434","0","Capacitor, X7R, ±10%"
"R53","4k7","TopLayer","RESC1005X04L","80.2386","21.7424","360","Resistor, ±1%, 0.063W"
"R52","4k7","TopLayer","RESC1005X04L","83.0834","21.7424","180","Resistor, ±1%, 0.063W"
"U24","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","27.4828","30.3530","270","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"R70","0R","TopLayer","RESC1005X04L","114.5645","30.9582","270","Resistor, ±5%, 0.063W"
"R69","0R","TopLayer","RESC1005X04L","113.6501","30.9582","270","Resistor, ±5%, 0.063W"
"U23","TCK106AF","TopLayer","SOT95P280X140-5N","49.8602","42.1894","180","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"U22","TCK106AF","TopLayer","SOT95P280X140-5N","84.3026","12.5476","270","1.0 A Load Switch IC with Slew Rate Control Driver in Small Package"
"C92","1.0µF","TopLayer","CAPC1608X06L","47.0662","40.5384","270","Capacitor, X7R, ±10%"
"C91","1.0µF","TopLayer","CAPC1608X06L","85.5980","9.3980","180","Capacitor, X7R, ±10%"
"C69","100nF","TopLayer","CAPC1005X04L","5.5778","38.6004","180","Capacitor, X7R, ±10%"
"C68","100nF","TopLayer","CAPC1005X04L","83.2231","7.3279","90","Capacitor, X7R, ±10%"
"LED4","L0603G","TopLayer","LED_0603_G","117.6230","50.1073","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED3","L0603G","TopLayer","LED_0603_G","111.2730","50.1073","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED2","L0603G","TopLayer","LED_0603_G","117.6230","53.9173","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED1","L0603G","TopLayer","LED_0603_G","111.2730","53.9173","360","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"P28","Pin List 1x3","TopLayer","LIST_1x3-NC","30.4800","25.4000","90","Pin List 1x3, 2.54mm (100mil)"
"P26","Socket 1x12","BottomLayer","LIST_1x12_SMD-NC","32.7660","45.7200","360","Socket 1x12, 2.54mm (100mil), SMD"
"D81","NSR0620P2T5G","TopLayer","SODFL100X40-2N","25.4254","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D80","NSR0620P2T5G","TopLayer","SODFL100X40-2N","23.7998","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"Q80","FCX690BTA","TopLayer","SOT89-150P409X160-3N","24.5640","21.3360","360","45V NPN high gain power transistor"
"U11","XC9236","TopLayer","USP-6C","20.7264","20.2434","360","600mA Driver Transistor Built-In, Synchronous Step-Down DC/DC Converters"
"U4","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","107.7436","52.6764","180","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
"R84","120k","TopLayer","RESC1005X04L","21.0058","18.0848","180","Resistor, ±1%, 0.063W"
"R82","330k","TopLayer","RESC1005X04L","19.0500","18.0848","180","Resistor, ±1%, 0.063W"
"R91","N.C.","TopLayer","RESC1005X04L","16.3320","51.1302","90","Not mounted"
"Q81","FDG6303N","TopLayer","SOT65P210X100-6N","13.9192","12.6238","360","Fairchild, FDG6303N, Dual N-Channel Digital FET"
"P23","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","9.5628","51.2000","270","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"L81","4.7µH","TopLayer","TY-NR3015","17.3990","20.2692","270","Ferrite Inductor, Shielded, 1,04A, 144mOhm"
"D83","NSR0620P2T5G","TopLayer","SODFL100X40-2N","24.6126","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"D82","NSR0620P2T5G","TopLayer","SODFL100X40-2N","22.9870","29.7656","90","20V schottky barrier diode, Vf 350 mV @ 100 mA, Ir 2.0 µA @ 10 V, If 500 mA"
"C86","4.7µF","TopLayer","CAPC2012X11L","21.1074","22.7838","360","Capacitor, X5R, ±10%"
"C88","10µF","TopLayer","CAPC1608X06L","16.8148","17.9578","360","Capacitor, 0603, 25V, X5R"
"C87","150pF","TopLayer","CAPC1005X04L","19.0754","17.1704","180","Capacitor, NP0, ±5%"
"C23","1.2pF","TopLayer","CAPC1005X04L","129.3792","39.2040","90","Capacitor, NP0, ±0.1pF"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","127.4234","38.3912","90","Coaxial Connector with Switch"
"L4","10µH","TopLayer","INDC1608X06L","110.1886","32.6674","90","Inductor, 80mA, ±10%"
"C13","N.C.","TopLayer","CAPC1005X04L","115.8386","43.7174","90","Not mounted"
"C12","100nF","TopLayer","CAPC1005X04L","117.8886","42.1674","360","Capacitor, X7R, ±10%"
"C21","4.7µF","TopLayer","CAPC1608X06L","112.5386","31.9424","270","Capacitor, X7S, ±10%"
